Infinitive,Tense,Person,Form
poder,imperfect,1s,podía
poder,imperfect,2s,podías
poder,imperfect,3s,podía
poder,imperfect,1p,podíamos
poder,imperfect,3p,podían
poder,subjunctive,1s,pueda
poder,subjunctive,2s,puedas
poder,subjunctive,3s,pueda
poder,subjunctive,1p,podamos
poder,subjunctive,3p,puedan
decir,present,1s,digo
decir,present,2s,dices
decir,present,3s,dice
decir,present,1p,decimos
decir,present,3p,dicen
decir,preterite,1s,dije
decir,preterite,2s,dijiste
decir,preterite,3s,dijo
decir,preterite,1p,dijimos
decir,preterite,3p,dijeron
decir,imperfect,1s,decía
decir,imperfect,2s,decías
decir,imperfect,3s,decía
decir,imperfect,1p,decíamos
decir,imperfect,3p,decían
decir,subjunctive,1s,diga
decir,subjunctive,2s,digas
decir,subjunctive,3s,diga
decir,subjunctive,1p,digamos
decir,subjunctive,3p,digan
poner,present,1s,pongo
poner,present,2s,pones
poner,present,3s,pone
poner,present,1p,ponemos
poner,present,3p,ponen
poner,preterite,1s,puse
poner,preterite,2s,pusiste
poner,preterite,3s,puso
poner,preterite,1p,pusimos
poner,preterite,3p,pusieron
poner,imperfect,1s,ponía
poner,imperfect,2s,ponías
poner,imperfect,3s,ponía
poner,imperfect,1p,poníamos
poner,imperfect,3p,ponían
poner,subjunctive,1s,ponga
poner,subjunctive,2s,pongas
poner,subjunctive,3s,ponga
poner,subjunctive,1p,pongamos
poner,subjunctive,3p,pongan
venir,present,1s,vengo
venir,present,2s,vienes
venir,present,3s,viene
venir,present,1p,venimos
venir,present,3p,vienen
venir,preterite,1s,vine
venir,preterite,2s,viniste
venir,preterite,3s,vino
venir,preterite,1p,vinimos
venir,preterite,3p,vinieron
venir,imperfect,1s,venía
venir,imperfect,2s,venías
venir,imperfect,3s,venía
venir,imperfect,1p,veníamos
venir,imperfect,3p,venían
venir,subjunctive,1s,venga
venir,subjunctive,2s,vengas
venir,subjunctive,3s,venga
venir,subjunctive,1p,vengamos
venir,subjunctive,3p,vengan
querer,present,1s,quiero
querer,present,2s,quieres
querer,present,3s,quiere
querer,present,1p,queremos
querer,present,3p,quieren
querer,preterite,1s,quise
querer,preterite,2s,quisiste
querer,preterite,3s,quiso
querer,preterite,1p,quisimos
querer,preterite,3p,quisieron
querer,imperfect,1s,quería
querer,imperfect,2s,querías
querer,imperfect,3s,quería
querer,imperfect,1p,queríamos
querer,imperfect,3p,querían
querer,subjunctive,1s,quiera
querer,subjunctive,2s,quieras
querer,subjunctive,3s,quiera
querer,subjunctive,1p,queramos
querer,subjunctive,3p,quieran
saber,present,1s,sé
saber,present,2s,sabes
saber,present,3s,sabe
saber,present,1p,sabemos
saber,present,3p,saben
saber,preterite,1s,supe
saber,preterite,2s,supiste
saber,preterite,3s,supo
saber,preterite,1p,supimos
saber,preterite,3p,supieron
saber,imperfect,1s,sabía
saber,imperfect,2s,sabías
saber,imperfect,3s,sabía
saber,imperfect,1p,sabíamos
saber,imperfect,3p,sabían
saber,subjunctive,1s,sepa
saber,subjunctive,2s,sepas
saber,subjunctive,3s,sepa
saber,subjunctive,1p,sepamos
saber,subjunctive,3p,sepan
ver,present,1s,veo
ver,present,2s,ves
ver,present,3s,ve
ver,present,1p,vemos
ver,present,3p,ven
ver,preterite,1s,vi
ver,preterite,2s,viste
ver,preterite,3s,vio
ver,preterite,1p,vimos
ver,preterite,3p,vieron
ver,imperfect,1s,veía
ver,imperfect,2s,veías
ver,imperfect,3s,veía
ver,imperfect,1p,veíamos
ver,imperfect,3p,veían
ver,subjunctive,1s,vea
ver,subjunctive,2s,veas
ver,subjunctive,3s,vea
ver,subjunctive,1p,veamos
ver,subjunctive,3p,vean
dar,present,1s,doy
dar,present,2s,das
dar,present,3s,da
dar,present,1p,damos
dar,present,3p,dan
dar,preterite,1s,di
dar,preterite,2s,diste
dar,preterite,3s,dio
dar,preterite,1p,dimos
dar,preterite,3p,dieron
dar,imperfect,1s,daba
dar,imperfect,2s,dabas
dar,imperfect,3s,daba
dar,imperfect,1p,dábamos
dar,imperfect,3p,daban
dar,subjunctive,1s,dé
dar,subjunctive,2s,des
dar,subjunctive,3s,dé
dar,subjunctive,1p,demos
dar,subjunctive,3p,den
salir,present,1s,salgo
salir,present,2s,sales
salir,present,3s,sale
salir,present,1p,salimos
salir,present,3p,salen
salir,preterite,1s,salí
salir,preterite,2s,saliste
salir,preterite,3s,salió
salir,preterite,1p,salimos
salir,preterite,3p,salieron
salir,imperfect,1s,salía
salir,imperfect,2s,salías
salir,imperfect,3s,salía
salir,imperfect,1p,salíamos
salir,imperfect,3p,salían
salir,subjunctive,1s,salga
salir,subjunctive,2s,salgas
salir,subjunctive,3s,salga
salir,subjunctive,1p,salgamos
salir,subjunctive,3p,salgan
traer,present,1s,traigo
traer,present,2s,traes
traer,present,3s,trae
traer,present,1p,traemos
traer,present,3p,traen
traer,preterite,1s,traje
traer,preterite,2s,trajiste
traer,preterite,3s,trajo
traer,preterite,1p,trajimos
traer,preterite,3p,trajeron
traer,imperfect,1s,traía
traer,imperfect,2s,traías
traer,imperfect,3s,traía
traer,imperfect,1p,traíamos
traer,imperfect,3p,traían
traer,subjunctive,1s,traiga
traer,subjunctive,2s,traigas
traer,subjunctive,3s,traiga
traer,subjunctive,1p,traigamos
traer,subjunctive,3p,traigan
caber,present,1s,quepo
caber,present,2s,cabes
caber,present,3s,cabe
caber,present,1p,cabemos
caber,present,3p,caben
caber,preterite,1s,cupe
caber,preterite,2s,cupiste
caber,preterite,3s,cupo
caber,preterite,1p,cupimos
caber,preterite,3p,cupieron
caber,imperfect,1s,cabía
caber,imperfect,2s,cabías
caber,imperfect,3s,cabía
caber,imperfect,1p,cabíamos
caber,imperfect,3p,cabían
caber,subjunctive,1s,quepa
caber,subjunctive,2s,quepas
caber,subjunctive,3s,quepa
caber,subjunctive,1p,quepamos
caber,subjunctive,3p,quepan
valer,present,1s,valgo
valer,present,2s,vales
valer,present,3s,vale
valer,present,1p,valemos
valer,present,3p,valen
valer,preterite,1s,valí
valer,preterite,2s,valiste
valer,preterite,3s,valió
valer,preterite,1p,valimos
valer,preterite,3p,valieron
valer,imperfect,1s,valía
valer,imperfect,2s,valías
valer,imperfect,3s,valía
valer,imperfect,1p,valíamos
valer,imperfect,3p,valían
valer,subjunctive,1s,valga
valer,subjunctive,2s,valgas
valer,subjunctive,3s,valga
valer,subjunctive,1p,valgamos
valer,subjunctive,3p,valgan
oír,present,1s,oigo
oír,present,2s,oyes
oír,present,3s,oye
oír,present,1p,oímos
oír,present,3p,oyen
oír,preterite,1s,oí
oír,preterite,2s,oíste
oír,preterite,3s,oyó
oír,preterite,1p,oímos
oír,preterite,3p,oyeron
oír,imperfect,1s,oía
oír,imperfect,2s,oías
oír,imperfect,3s,oía
oír,imperfect,1p,oíamos
oír,imperfect,3p,oían
oír,subjunctive,1s,oiga
oír,subjunctive,2s,oigas
oír,subjunctive,3s,oiga
oír,subjunctive,1p,oigamos
oír,subjunctive,3p,oigan
conducir,present,1s,conduzco
conducir,present,2s,conduces
conducir,present,3s,conduce
conducir,present,1p,conducimos
conducir,present,3p,conducen
conducir,preterite,1s,conduje
conducir,preterite,2s,condujiste
conducir,preterite,3s,condujo
conducir,preterite,1p,condujimos
conducir,preterite,3p,condujeron
conducir,imperfect,1s,conducía
conducir,imperfect,2s,conducías
conducir,imperfect,3s,conducía
conducir,imperfect,1p,conducíamos
conducir,imperfect,3p,conducían
conducir,subjunctive,1s,conduzca
conducir,subjunctive,2s,conduzcas
conducir,subjunctive,3s,conduzca
conducir,subjunctive,1p,conduzcamos
conducir,subjunctive,3p,conduzcan
pensar,present,1s,pienso
pensar,present,2s,piensas
pensar,present,3s,piensa
pensar,present,1p,pensamos
pensar,present,3p,piensan
pensar,preterite,1s,pensé
pensar,preterite,2s,pensaste
pensar,preterite,3s,pensó
pensar,preterite,1p,pensamos
pensar,preterite,3p,pensaron
pensar,imperfect,1s,pensaba
pensar,imperfect,2s,pensabas
pensar,imperfect,3s,pensaba
pensar,imperfect,1p,pensábamos
pensar,imperfect,3p,pensaban
pensar,subjunctive,1s,piense
pensar,subjunctive,2s,pienses
pensar,subjunctive,3s,piense
pensar,subjunctive,1p,pensemos
pensar,subjunctive,3p,piensen
volver,present,1s,vuelvo
volver,present,2s,vuelves
volver,present,3s,vuelve
volver,present,1p,volvemos
volver,present,3p,vuelven
volver,preterite,1s,volví
volver,preterite,2s,volviste
volver,preterite,3s,volvió
volver,preterite,1p,volvimos
volver,preterite,3p,volvieron
volver,imperfect,1s,volvía
volver,imperfect,2s,volvías
volver,imperfect,3s,volvía
volver,imperfect,1p,volvíamos
volver,imperfect,3p,volvían
volver,subjunctive,1s,vuelva
volver,subjunctive,2s,vuelvas
volver,subjunctive,3s,vuelva
volver,subjunctive,1p,volvamos
volver,subjunctive,3p,vuelvan
pedir,present,1s,pido
pedir,present,2s,pides
pedir,present,3s,pide
pedir,present,1p,pedimos
pedir,present,3p,piden
pedir,preterite,1s,pedí
pedir,preterite,2s,pediste
pedir,preterite,3s,pidió
pedir,preterite,1p,pedimos
pedir,preterite,3p,pidieron
pedir,imperfect,1s,pedía
pedir,imperfect,2s,pedías
pedir,imperfect,3s,pedía
pedir,imperfect,1p,pedíamos
pedir,imperfect,3p,pedían
pedir,subjunctive,1s,pida
pedir,subjunctive,2s,pidas
pedir,subjunctive,3s,pida
pedir,subjunctive,1p,pidamos
pedir,subjunctive,3p,pidan
dormir,present,1s,duermo
dormir,present,2s,duermes
dormir,present,3s,duerme
dormir,present,1p,dormimos
dormir,present,3p,duermen
dormir,preterite,1s,dormí
dormir,preterite,2s,dormiste
dormir,preterite,3s,durmió
dormir,preterite,1p,dormimos
dormir,preterite,3p,durmieron
dormir,imperfect,1s,dormía
dormir,imperfect,2s,dormías
dormir,imperfect,3s,dormía
dormir,imperfect,1p,dormíamos
dormir,imperfect,3p,dormían
dormir,subjunctive,1s,duerma
dormir,subjunctive,2s,duermas
dormir,subjunctive,3s,duerma
dormir,subjunctive,1p,durmamos
dormir,subjunctive,3p,duerman
jugar,present,1s,juego
jugar,present,2s,juegas
jugar,present,3s,juega
jugar,present,1p,jugamos
jugar,present,3p,juegan
jugar,preterite,1s,jugué
jugar,preterite,2s,jugaste
jugar,preterite,3s,jugó
jugar,preterite,1p,jugamos
jugar,preterite,3p,jugaron
jugar,imperfect,1s,jugaba
jugar,imperfect,2s,jugabas
jugar,imperfect,3s,jugaba
jugar,imperfect,1p,jugábamos
jugar,imperfect,3p,jugaban
jugar,subjunctive,1s,juegue
jugar,subjunctive,2s,juegues
jugar,subjunctive,3s,juegue
jugar,subjunctive,1p,juguemos
jugar,subjunctive,3p,jueguen
llegar,present,1s,llego
llegar,present,2s,llegas
llegar,present,3s,llega
llegar,present,1p,llegamos
llegar,present,3p,llegan
llegar,preterite,1s,llegué
llegar,preterite,2s,llegaste
llegar,preterite,3s,llegó
llegar,preterite,1p,llegamos
llegar,preterite,3p,llegaron
llegar,imperfect,1s,llegaba
llegar,imperfect,2s,llegabas
llegar,imperfect,3s,llegaba
llegar,imperfect,1p,llegábamos
llegar,imperfect,3p,llegaban
llegar,subjunctive,1s,llegue
llegar,subjunctive,2s,llegues
llegar,subjunctive,3s,llegue
llegar,subjunctive,1p,lleguemos
llegar,subjunctive,3p,lleguen
buscar,present,1s,busco
buscar,present,2s,buscas
buscar,present,3s,busca
buscar,present,1p,buscamos
buscar,present,3p,buscan
buscar,preterite,1s,busqué
buscar,preterite,2s,buscaste
buscar,preterite,3s,buscó
buscar,preterite,1p,buscamos
buscar,preterite,3p,buscaron
buscar,imperfect,1s,buscaba
buscar,imperfect,2s,buscabas
buscar,imperfect,3s,buscaba
buscar,imperfect,1p,buscábamos
buscar,imperfect,3p,buscaban
buscar,subjunctive,1s,busque
buscar,subjunctive,2s,busques
buscar,subjunctive,3s,busque
buscar,subjunctive,1p,busquemos
buscar,subjunctive,3p,busquen
empezar,present,1s,empiezo
empezar,present,2s,empiezas
empezar,present,3s,empieza
empezar,present,1p,empezamos
empezar,present,3p,empiezan
empezar,preterite,1s,empecé
empezar,preterite,2s,empezaste
empezar,preterite,3s,empezó
empezar,preterite,1p,empezamos
empezar,preterite,3p,empezaron
empezar,imperfect,1s,empezaba
empezar,imperfect,2s,empezabas
empezar,imperfect,3s,empezaba
empezar,imperfect,1p,empezábamos
empezar,imperfect,3p,empezaban
empezar,subjunctive,1s,empiece
empezar,subjunctive,2s,empieces
empezar,subjunctive,3s,empiece
empezar,subjunctive,1p,empecemos
empezar,subjunctive,3p,empiecen
andar,present,1s,ando
andar,present,2s,andas
andar,present,3s,anda
andar,present,1p,andamos
andar,present,3p,andan
andar,preterite,1s,anduve
andar,preterite,2s,anduviste
andar,preterite,3s,anduvo
andar,preterite,1p,anduvimos
andar,preterite,3p,anduvieron
andar,imperfect,1s,andaba
andar,imperfect,2s,andabas
andar,imperfect,3s,andaba
andar,imperfect,1p,andábamos
andar,imperfect,3p,andaban
andar,subjunctive,1s,ande
andar,subjunctive,2s,andes
andar,subjunctive,3s,ande
andar,subjunctive,1p,andemos
andar,subjunctive,3p,anden
caer,present,1s,caigo
caer,present,2s,caes
caer,present,3s,cae
caer,present,1p,caemos
caer,present,3p,caen
caer,preterite,1s,caí
caer,preterite,2s,caíste
caer,preterite,3s,cayó
caer,preterite,1p,caímos
caer,preterite,3p,cayeron
caer,imperfect,1s,caía
caer,imperfect,2s,caías
caer,imperfect,3s,caía
caer,imperfect,1p,caíamos
caer,imperfect,3p,caían
caer,subjunctive,1s,caiga
caer,subjunctive,2s,caigas
caer,subjunctive,3s,caiga
caer,subjunctive,1p,caigamos
caer,subjunctive,3p,caigan
conocer,present,1s,conozco
conocer,present,2s,conoces
conocer,present,3s,conoce
conocer,present,1p,conocemos
conocer,present,3p,conocen
conocer,preterite,1s,conocí
conocer,preterite,2s,conociste
conocer,preterite,3s,conoció
conocer,preterite,1p,conocimos
conocer,preterite,3p,conocieron
conocer,imperfect,1s,conocía
conocer,imperfect,2s,conocías
conocer,imperfect,3s,conocía
conocer,imperfect,1p,conocíamos
conocer,imperfect,3p,conocían
conocer,subjunctive,1s,conozca
conocer,subjunctive,2s,conozcas
conocer,subjunctive,3s,conozca
conocer,subjunctive,1p,conozcamos
conocer,subjunctive,3p,conozcan
leer,present,1s,leo
leer,present,2s,lees
leer,present,3s,lee
leer,present,1p,leemos
leer,present,3p,leen
leer,preterite,1s,leí
leer,preterite,2s,leíste
leer,preterite,3s,leyó
leer,preterite,1p,leímos
leer,preterite,3p,leyeron
leer,imperfect,1s,leía
leer,imperfect,2s,leías
leer,imperfect,3s,leía
leer,imperfect,1p,leíamos
leer,imperfect,3p,leían
leer,subjunctive,1s,lea
leer,subjunctive,2s,leas
leer,subjunctive,3s,lea
leer,subjunctive,1p,leamos
leer,subjunctive,3p,lean
construir,present,1s,construyo
construir,present,2s,construyes
construir,present,3s,construye
construir,present,1p,construimos
construir,present,3p,construyen
construir,preterite,1s,construí
construir,preterite,2s,construiste
construir,preterite,3s,construyó
construir,preterite,1p,construimos
construir,preterite,3p,construyeron
construir,imperfect,1s,construía
construir,imperfect,2s,construías
construir,imperfect,3s,construía
construir,imperfect,1p,construíamos
construir,imperfect,3p,construían
construir,subjunctive,1s,construya
construir,subjunctive,2s,construyas
construir,subjunctive,3s,construya
construir,subjunctive,1p,construyamos
construir,subjunctive,3p,construyan
reír,present,1s,río
reír,present,2s,ríes
reír,present,3s,ríe
reír,present,1p,reímos
reír,present,3p,ríen
reír,preterite,1s,reí
reír,preterite,2s,reíste
reír,preterite,3s,rio
reír,preterite,1p,reímos
reír,preterite,3p,rieron
reír,imperfect,1s,reía
reír,imperfect,2s,reías
reír,imperfect,3s,reía
reír,imperfect,1p,reíamos
reír,imperfect,3p,reían
reír,subjunctive,1s,ría
reír,subjunctive,2s,rías
reír,subjunctive,3s,ría
reír,subjunctive,1p,riamos
reír,subjunctive,3p,rían
seguir,present,1s,sigo
seguir,present,2s,sigues
seguir,present,3s,sigue
seguir,present,1p,seguimos
seguir,present,3p,siguen
seguir,preterite,1s,seguí
seguir,preterite,2s,seguiste
seguir,preterite,3s,siguió
seguir,preterite,1p,seguimos
seguir,preterite,3p,siguieron
seguir,imperfect,1s,seguía
seguir,imperfect,2s,seguías
seguir,imperfect,3s,seguía
seguir,imperfect,1p,seguíamos
seguir,imperfect,3p,seguían
seguir,subjunctive,1s,siga
seguir,subjunctive,2s,sigas
seguir,subjunctive,3s,siga
seguir,subjunctive,1p,sigamos
seguir,subjunctive,3p,sigan
sentir,present,1s,siento
sentir,present,2s,sientes
sentir,present,3s,siente
sentir,present,1p,sentimos
sentir,present,3p,sienten
sentir,preterite,1s,sentí
sentir,preterite,2s,sentiste
sentir,preterite,3s,sintió
sentir,preterite,1p,sentimos
sentir,preterite,3p,sintieron
sentir,imperfect,1s,sentía
sentir,imperfect,2s,sentías
sentir,imperfect,3s,sentía
sentir,imperfect,1p,sentíamos
sentir,imperfect,3p,sentían
sentir,subjunctive,1s,sienta
sentir,subjunctive,2s,sientas
sentir,subjunctive,3s,sienta
sentir,subjunctive,1p,sintamos
sentir,subjunctive,3p,sientan
morir,present,1s,muero
morir,present,2s,mueres
morir,present,3s,muere
morir,present,1p,morimos
morir,present,3p,mueren
morir,preterite,1s,morí
morir,preterite,2s,moriste
morir,preterite,3s,murió
morir,preterite,1p,morimos
morir,preterite,3p,murieron
morir,imperfect,1s,moría
morir,imperfect,2s,morías
morir,imperfect,3s,moría
morir,imperfect,1p,moríamos
morir,imperfect,3p,morían
morir,subjunctive,1s,muera
morir,subjunctive,2s,mueras
morir,subjunctive,3s,muera
morir,subjunctive,1p,muramos
morir,subjunctive,3p,mueran
oler,present,1s,huelo
oler,present,2s,hueles
oler,present,3s,huele
oler,present,1p,olemos
oler,present,3p,huelen
oler,preterite,1s,olí
oler,preterite,2s,oliste
oler,preterite,3s,olió
oler,preterite,1p,olimos
oler,preterite,3p,olieron
oler,imperfect,1s,olía
oler,imperfect,2s,olías
oler,imperfect,3s,olía
oler,imperfect,1p,olíamos
oler,imperfect,3p,olían
oler,subjunctive,1s,huela
oler,subjunctive,2s,huelas
oler,subjunctive,3s,huela
oler,subjunctive,1p,olamos
oler,subjunctive,3p,huelan
elegir,present,1s,elijo
elegir,present,2s,eliges
elegir,present,3s,elige
elegir,present,1p,elegimos
elegir,present,3p,eligen
elegir,preterite,1s,elegí
elegir,preterite,2s,elegiste
elegir,preterite,3s,eligió
elegir,preterite,1p,elegimos
elegir,preterite,3p,eligieron
elegir,imperfect,1s,elegía
elegir,imperfect,2s,elegías
elegir,imperfect,3s,elegía
elegir,imperfect,1p,elegíamos
elegir,imperfect,3p,elegían
elegir,subjunctive,1s,elija
elegir,subjunctive,2s,elijas
elegir,subjunctive,3s,elija
elegir,subjunctive,1p,elijamos
elegir,subjunctive,3p,elijan
