Order,English,Deutsch,Gender,Type,Level,Unit,Example
37,noun,das Nomen,neuter,noun,A1,1,Ein Nomen hat immer einen Artikel.
38,paper,das Papier,neuter,noun,A1,1,Ich brauche ein Blatt Papier.
39,person,die Person,feminine,noun,A1,1,Er ist eine nette Person.
40,radio,das Radio,neuter,noun,A1,1,Das Radio spielt meine Lieblingsmusik.
41,Saturday,der Samstag,masculine,noun,A1,1,Am Samstag habe ich frei.
42,sentence,der Satz,masculine,noun,A1,1,Bitte bilden Sie einen Satz.
43,to write,schreiben,null,verb,A1,1,Ich schreibe einen Brief.
44,Sunday,der Sonntag,masculine,noun,A1,1,Am Sonntag schlafe ich lange.
45,to speak,sprechen,null,verb,A1,1,Ich spreche Deutsch.
46,"pen, pencil",der Stift,masculine,noun,A1,1,Hast du einen Stift für mich?
47,"super, great",super,null,adjective,A1,1,Dein neues Hemd sieht super aus!
48,blackboard,die Tafel,feminine,noun,A1,1,Der Lehrer schreibt an die Tafel.
49,bag,die Tasche,feminine,noun,A1,1,Meine Tasche ist sehr schwer.
50,"clock, watch",die Uhr,feminine,noun,A1,1,Meine Uhr geht fünf Minuten vor.
51,verb,das Verb,neuter,noun,A1,1,Ich lerne ein neues deutsches Verb heute.
52,late morning,der Vormittag,masculine,noun,A1,1,Am Vormittag habe ich Zeit.
53,when,wann,null,adverb,A1,1,Wann fährt der nächste Zug nach Berlin ab?
54,who,wer,null,adverb,A1,1,Wer ist der nette Mann dort drüben an der Tür?
55,how,wie,null,adverb,A1,1,Wie lange dauert die Fahrt zum Flughafen von hier?
56,welcome,willkommen,null,adjective,A1,1,Herzlich willkommen in unserem neuen Haus!
57,where from,woher,null,adverb,A1,1,Woher kommen Sie?
58,word order,die Wortstellung,feminine,noun,A1,1,Die deutsche Wortstellung ist manchmal schwierig.
59,alone,allein,null,adjective,A1,2,Sie ist heute allein.
60,answer,die Antwort,feminine,noun,A1,2,Ich warte auf deine Antwort.
61,to work,arbeiten,null,verb,A1,2,Ich arbeite in einem Büro.
62,architect (male),der Architekt,masculine,noun,A1,2,Der Architekt plant ein modernes Haus.
63,architect (female),die Architektin,feminine,noun,A1,2,Sie ist eine gute Architektin.
64,"also, too",auch,null,adverb,A1,2,Ich komme auch aus Deutschland.
65,"abroad, foreign country",das Ausland,neuter,noun,A1,2,Er arbeitet im Ausland.
66,brother,der Bruder,masculine,noun,A1,2,Mein Bruder spielt gern Fußball im Park.
67,cousin (male),der Cousin,masculine,noun,A1,2,Mein Cousin wohnt in Hamburg.
68,cousin (female),die Cousine,feminine,noun,A1,2,Meine Cousine ist sehr nett.
69,then,dann,null,adverb,A1,2,"Zuerst essen wir, dann gehen wir nach Hause."
70,your (informal),dein,null,phrase,A1,2,Ist das dein neues Buch?
71,designer (male),der Designer,masculine,noun,A1,2,Der Designer entwirft schöne Kleidung.
72,designer (female),die Designerin,feminine,noun,A1,2,Sie ist eine gute Designerin.
73,"yes (contradicting), but",doch,null,adverb,A1,2,"Du bist nicht müde? Doch, ich bin müde!"
74,thirty,dreißig,null,phrase,A1,2,Ich bin dreißig Jahre alt.
75,one,eins / ein,null,phrase,A1,2,"Ich nehme ein Bier, bitte."
76,only child,das Einzelkind,neuter,noun,A1,2,Ich bin ein Einzelkind.
77,parents,die Eltern,feminine,noun,A1,2,Meine Eltern sind zu Hause.
78,your (plural informal),euer,null,phrase,A1,2,Ist das euer Auto?
79,photo,das Foto,neuter,noun,A1,2,Ich mache ein Foto.
80,photographer,der Fotograf,masculine,noun,A1,2,Der Fotograf macht schöne Fotos.
81,woman,die Frau,feminine,noun,A1,2,Die Frau liest ein Buch.
82,friend,der Freund,masculine,noun,A1,2,Das ist mein bester Freund.
83,friend (female),die Freundin,feminine,noun,A1,2,Meine Freundin heißt Anna.
84,to play football,Fußball (spielen),null,phrase,A1,2,Wir spielen gern Fußball.
85,"gladly, with pleasure",gern,null,adverb,A1,2,Ich esse gern Pizza.
86,divorced,geschieden,null,adjective,A1,2,Sie ist leider schon geschieden.
87,siblings,die Geschwister,feminine,noun,A1,2,Ich habe zwei Geschwister.
88,grandparents,die Großeltern,feminine,noun,A1,2,Meine Großeltern wohnen hier.
89,grandmother,die Großmutter,feminine,noun,A1,2,Meine Großmutter backt Kuchen.
90,grandfather,der Großvater,masculine,noun,A1,2,Mein Großvater erzählt Geschichten.
91,good,gut,null,adjective,A1,2,Dieses Essen ist sehr gut.
92,to hear,hören,null,verb,A1,2,Hörst du die laute Musik?
93,hundred,hundert,null,phrase,A1,2,Das Buch kostet hundert Euro.
94,their,ihr (Pl.),null,phrase,A1,2,Das sind ihre Kinder.
95,IT specialist (male),der Informatiker,masculine,noun,A1,2,Mein Bruder ist Informatiker.
96,IT specialist (female),die Informatikerin,feminine,noun,A1,2,Sie ist eine gute Informatikerin.
97,engineer (male),der Ingenieur,masculine,noun,A1,2,Mein Vater ist Ingenieur.
98,engineer (female),die Ingenieurin,feminine,noun,A1,2,Meine Schwester ist Ingenieurin.
99,international,international,null,adjective,A1,2,Die Firma ist international.
100,yes,ja,null,adverb,A1,2,"Ja, das stimmt."
101,now,jetzt,null,adverb,A1,2,Ich gehe jetzt nach Hause.
102,child,das Kind,neuter,noun,A1,2,Das Kind spielt im Garten.
103,small,klein,null,adjective,A1,2,Meine Katze ist sehr klein.
104,"cook, chef (male)",der Koch,masculine,noun,A1,2,Der Koch macht gutes Essen.
105,to cook,kochen,null,verb,A1,2,Ich koche heute Abend Suppe.
106,"cook, chef (female)",die Köchin,feminine,noun,A1,2,Die Köchin macht gutes Essen.
107,colleague (male),der Kollege,masculine,noun,A1,2,Mein Kollege kommt aus Berlin.
108,colleague (female),die Kollegin,feminine,noun,A1,2,Das ist meine neue Kollegin.
109,"country, land",das Land,neuter,noun,A1,2,Deutschland ist ein schönes Land.
110,life,das Leben,neuter,noun,A1,2,Mein Leben ist sehr schön.
111,single (unmarried),ledig,null,adjective,A1,2,Bist du verheiratet oder ledig?
112,teacher,der Lehrer,masculine,noun,A1,2,Der Lehrer erklärt die Aufgabe.
113,love,die Liebe,feminine,noun,A1,2,Die Liebe ist ein schönes Gefühl.
114,favorite topic,das Lieblingsthema,neuter,noun,A1,2,Politik ist nicht mein Lieblingsthema.
115,mom,das Mam,neuter,noun,A1,2,Meine Mam kocht heute Spaghetti.
116,one (impersonal pronoun),man,null,pronoun,A1,2,Hier spricht man Englisch.
117,manager (male),der Manager,masculine,noun,A1,2,Der Manager leitet das Team.
118,manager (female),die Managerin,feminine,noun,A1,2,Unsere Managerin ist sehr nett.
119,man,der Mann,masculine,noun,A1,2,Der Mann liest ein Buch.
120,my,mein,null,phrase,A1,2,Das ist mein Auto.
121,to mean/think,meinen,null,verb,A1,2,Was meinst du zu diesem Thema?
122,musician (male),der Musiker,masculine,noun,A1,2,Mein Bruder ist Musiker.
123,musician (female),die Musikerin,feminine,noun,A1,2,Sie ist eine bekannte Musikerin.
124,mother,die Mutter,feminine,noun,A1,2,Meine Mutter wohnt in Berlin.
125,not,nicht,null,adverb,A1,2,Ich verstehe diese komplizierte Aufgabe leider nicht.
126,the Netherlands,die Niederlande,feminine,noun,A1,2,Sie reisen in die Niederlande.
127,zero,null,null,phrase,A1,2,Die Temperatur ist null Grad.
128,opera,die Oper,feminine,noun,A1,2,Gehen wir heute Abend in die Oper?
129,Austria,Österreich,null,noun,A1,2,Ich fahre diesen Sommer nach Österreich.
130,partner,der Partner,masculine,noun,A1,2,"Das ist mein Partner, Julian."
131,plural,der Plural,masculine,noun,A1,2,Was ist der Plural von „Buch“?
132,puzzle,das Puzzle,neuter,noun,A1,2,Wir machen ein großes Puzzle zusammen.
133,ship,das Schiff,neuter,noun,A1,2,Das große Schiff fährt auf dem Meer.
134,beautiful,schön,null,adjective,A1,2,Der Park ist im Frühling sehr schön.
135,sister,die Schwester,feminine,noun,A1,2,Das ist meine ältere Schwester.
136,to swim,schwimmen,null,verb,A1,2,Ich schwimme gern im See.
137,very,sehr,null,adverb,A1,2,Das Wetter ist heute sehr schön und warm in Berlin.
138,to be,sein,null,verb,A1,2,Ich bin müde.
139,"independent, self-employed",selbständig,null,adjective,A1,2,Meine Schwester ist sehr selbständig im Leben.
140,singular,der Singular,masculine,noun,A1,2,Was ist der Singular von „Häuser“?
141,son,der Sohn,masculine,noun,A1,2,Mein Sohn ist fünf Jahre alt.
142,to play,spielen,null,verb,A1,2,Er spielt Fußball.
143,flight attendant (male),der Steward,masculine,noun,A1,2,Der Steward bringt uns Getränke.
144,flight attendant (female),die Stewardess,feminine,noun,A1,2,Die Stewardess ist sehr freundlich.
145,day,der Tag,masculine,noun,A1,2,Guten Tag! Wie geht es Ihnen?
146,dance,der Tanz,masculine,noun,A1,2,Wir lieben den Tanz sehr.
147,to dance,tanzen,null,verb,A1,2,Wir tanzen gerne am Wochenende.
148,to play tennis,Tennis (spielen),null,phrase,A1,2,Ich spiele gern Tennis am Samstag.
149,"topic, subject",das Thema,neuter,noun,A1,2,Das ist ein sehr interessantes Thema.
150,daughter,die Tochter,feminine,noun,A1,2,Meine Tochter ist noch klein.
151,"great, awesome",toll,null,adjective,A1,2,Das Konzert war gestern wirklich toll.
152,Turkey,die Türkei,feminine,noun,A1,2,Wir fliegen in die Türkei.
153,Ukraine,die Ukraine,feminine,noun,A1,2,Die Ukraine ist ein Land in Osteuropa.
154,our,unser,null,phrase,A1,2,Das ist unser Haus hier.
155,father,der Vater,masculine,noun,A1,2,Mein Vater arbeitet sehr viel.
156,married,verheiratet,null,adjective,A1,2,Sind Sie verheiratet oder ledig?
157,because,weil,null,conjunction,A1,2,"Ich bleibe zu Hause, weil ich müde bin."
158,week,die Woche,feminine,noun,A1,2,Ich arbeite fünf Tage pro Woche.
159,number,die Zahl,feminine,noun,A1,2,Welche Zahl ist deine Lieblingszahl?
160,to draw,zeichnen,null,verb,A1,2,Sie zeichnet sehr schöne Bilder.
161,twenty,zwanzig,null,phrase,A1,2,Meine Schwester ist zwanzig Jahre alt.
162,evening,der Abend,masculine,noun,A1,3,"Guten Abend, wie geht es Ihnen heute?"
163,apple,der Apfel,masculine,noun,A1,3,Ich esse jeden Tag einen Apfel.
164,to order,bestellen,null,verb,A1,3,Ich möchte einen Kaffee bestellen.
165,beer,das Bier,neuter,noun,A1,3,Möchten Sie ein Bier?
166,organic,bio,null,adjective,A1,3,Ich kaufe gern Bio-Gemüse.
167,bread,das Brot,neuter,noun,A1,3,Ich esse gern Brot.
168,butter,die Butter,feminine,noun,A1,3,Ich mag Butter auf dem Brot.
169,thirst,der Durst,masculine,noun,A1,3,Ich habe großen Durst.
170,to be thirsty,Durst haben,null,phrase,A1,3,Ich habe Durst.
171,egg,das Ei,neuter,noun,A1,3,Ich esse ein Ei zum Frühstück.
172,a/an (indefinite article),ein / eine / einen,null,phrase,A1,3,Ich habe einen Hund.
173,to eat,essen,null,verb,A1,3,Ich esse einen Apfel.
174,fish,der Fisch,masculine,noun,A1,3,Ich esse gerne Fisch zum Abendessen.
175,meat,das Fleisch,neuter,noun,A1,3,Ich esse kein Fleisch.
176,vegetables,das Gemüse,neuter,noun,A1,3,Ich esse viel Gemüse.
177,open (of a shop/restaurant),geöffnet,null,adjective,A1,3,Der Laden ist jetzt geöffnet.
178,closed,geschlossen,null,adjective,A1,3,Die Bank ist heute geschlossen.
179,"drink, beverage",das Getränk,neuter,noun,A1,3,Möchtest du ein kaltes Getränk?
180,separately (paying),getrennt,null,adverb,A1,3,Wir möchten bitte getrennt zahlen.
181,main course,die Hauptspeise,feminine,noun,A1,3,Die Hauptspeise ist sehr lecker.
182,hunger,der Hunger,masculine,noun,A1,3,Ich habe großen Hunger.
183,to be hungry,Hunger haben,null,phrase,A1,3,Ich habe Hunger. Lass uns essen!
184,potato,die Kartoffel,feminine,noun,A1,3,Ich esse gerne Kartoffeln.
185,cheese,der Käse,masculine,noun,A1,3,Ich esse gern Käse.
186,to buy,kaufen,null,verb,A1,3,Ich kaufe Brot im Supermarkt.
187,"no, not a",kein / keine,null,adjective,A1,3,Ich habe kein Geld.
188,"delicious, tasty",lecker,null,adjective,A1,3,Das Abendessen ist sehr lecker.
189,to read,lesen,null,verb,A1,3,Ich lese gern interessante Bücher.
190,set menu / menu,das Menü,neuter,noun,A1,3,Wir bestellen das Tagesmenü.
191,minute,die Minute,feminine,noun,A1,3,Warte bitte eine Minute hier.
192,"noon, midday",der Mittag,masculine,noun,A1,3,Wir essen zu Mittag.
193,"at midday, at lunchtime",mittags,null,adverb,A1,3,Wir essen mittags immer zusammen in der Kantine.
194,to like (general preference),mögen,null,verb,A1,3,Ich mag Pizza mit viel Käse.
195,morning,der Morgen,masculine,noun,A1,3,Ich stehe jeden Morgen früh auf.
196,dessert,der Nachtisch,masculine,noun,A1,3,Was gibt es zum Nachtisch?
197,to take,nehmen,null,verb,A1,3,Ich nehme oft den Bus zur Arbeit.
198,not really (like),nicht so gern,null,phrase,A1,3,Ich esse nicht so gern Fisch.
199,fruit,das Obst,neuter,noun,A1,3,Ich esse gern frisches Obst.
200,pasta,die Pasta,feminine,noun,A1,3,Ich koche heute Abend Pasta.
201,pizza,die Pizza,feminine,noun,A1,3,Wir bestellen eine große Pizza.
202,juice,der Saft,masculine,noun,A1,3,Möchtest du Orangensaft oder Apfelsaft?
203,salad / lettuce,der Salat,masculine,noun,A1,3,Ich esse gerne Salat zum Abendessen.
204,schnitzel (breaded meat cutlet),das Schnitzel,neuter,noun,A1,3,Ich esse gern Wiener Schnitzel mit Pommes.
205,"dish, food item",die Speise,feminine,noun,A1,3,Das ist eine gute Speise.
206,hour,die Stunde,feminine,noun,A1,3,Der Kurs dauert eine Stunde.
207,soup,die Suppe,feminine,noun,A1,3,Ich mag Gemüsesuppe sehr.
208,tea,der Tee,masculine,noun,A1,3,Ich trinke gern heißen Tee.
209,tomato,die Tomate,feminine,noun,A1,3,Ich esse eine frische Tomate.
210,to meet,treffen,null,verb,A1,3,Ich treffe meine Freunde im Café.
211,to drink,trinken,null,verb,A1,3,Ich trinke Wasser jeden Tag.
212,time (clock time),die Uhrzeit,feminine,noun,A1,3,Ich frage nach der Uhrzeit.
213,at (clock time),um,null,preposition,A1,3,Der Unterricht beginnt um neun Uhr.
214,from ... to,von ... bis,null,preposition,A1,3,Der Laden ist von neun bis achtzehn Uhr geöffnet.
215,water,das Wasser,neuter,noun,A1,3,Ich trinke gern kaltes Wasser im Sommer.
216,wine,der Wein,masculine,noun,A1,3,Ich trinke gern roten Wein.
217,important,wichtig,null,adjective,A1,3,Diese Information ist sehr wichtig für uns.
218,sausage / cold cuts,die Wurst,feminine,noun,A1,3,Ich esse gerne eine Wurst mit Brot.
219,together,zusammen,null,adverb,A1,3,Wir essen zusammen zu Abend.
220,battery (device),der Akku,masculine,noun,A1,4,Der Akku von meinem Handy ist leer.
221,"to get dressed, to put on",anziehen,null,verb,A1,4,Ich ziehe mir schnell die Jacke an.
222,work,die Arbeit,feminine,noun,A1,4,Ich gehe jetzt zur Arbeit.
223,to open,aufmachen,null,verb,A1,4,Kannst du das Fenster aufmachen?
224,to tidy up,aufräumen,null,verb,A1,4,Ich muss mein Zimmer aufräumen.
225,to get up,aufstehen,null,verb,A1,4,Ich stehe jeden Morgen um sechs Uhr auf.
226,meeting,die Besprechung,feminine,noun,A1,4,Wir haben eine wichtige Besprechung.
227,office,das Büro,neuter,noun,A1,4,Ich arbeite im Büro.
228,"boss, manager (male)",der Chef,masculine,noun,A1,4,Mein Chef ist sehr freundlich.
229,"boss, manager (female)",die Chefin,feminine,noun,A1,4,Meine Chefin ist sehr nett.
230,to download,downloaden,null,verb,A1,4,Ich downloade die App.
231,to go shopping,einkaufen,null,verb,A1,4,Ich kaufe heute ein.
232,"allowed, permitted",erlaubt,null,adjective,A1,4,Rauchen ist hier nicht erlaubt.
233,early,früh,null,adjective,A1,4,Der Bus kommt immer sehr früh.
234,frustrated,frustriert,null,adjective,A1,4,Er ist momentan sehr frustriert.
235,"to work, to function",funktionieren,null,verb,A1,4,Das Handy funktioniert.
236,house rules,die Hausordnung,feminine,noun,A1,4,Bitte lesen Sie die Hausordnung.
237,pet,das Haustier,neuter,noun,A1,4,Hast du ein Haustier?
238,to help,helfen,null,verb,A1,4,Kann ich Ihnen bitte helfen?
239,today,heute,null,adverb,A1,4,Heute ist Dienstag.
240,always,immer,null,adverb,A1,4,Ich trinke immer Wasser.
241,can/be able to,können,null,verb,A1,4,Ich kann Deutsch sprechen.
242,to charge / to load,laden,null,verb,A1,4,Er lädt die Taschen in den Kofferraum.
243,laptop,das Laptop,neuter,noun,A1,4,Mein Laptop ist sehr schnell.
244,"loud, noisy",laut,null,adjective,A1,4,Die Musik ist zu laut.
245,would like (polite request),möchten,null,verb,A1,4,"Ich möchte einen großen Kaffee, bitte."
246,tomorrow,morgen,null,adverb,A1,4,Ich habe morgen einen wichtigen Termin beim Arzt.
247,tired,müde,null,adjective,A1,4,Ich bin heute sehr müde.
248,must/have to,müssen,null,verb,A1,4,Ich muss jetzt wirklich gehen.
249,nervous,nervös,null,adjective,A1,4,Bist du vor der Prüfung nervös?
250,"normally, usually",normalerweise,null,adverb,A1,4,Normalerweise stehe ich früh am Morgen um sechs Uhr auf.
251,to park,parken,null,verb,A1,4,Ich parke hier mein Auto nicht.
252,password,das Passwort,neuter,noun,A1,4,Bitte gib dein Passwort ein.
253,problem,das Problem,neuter,noun,A1,4,Ich habe ein Problem mit meinem Computer.
254,to smoke,rauchen,null,verb,A1,4,Er raucht keine Zigaretten mehr.
255,rule,die Regel,feminine,noun,A1,4,Du musst dich an die Regel halten.
256,sentence bracket (grammar term),die Satzklammer,feminine,noun,A1,4,Im Deutschen bildet das konjugierte Verb oft die erste Satzklammer.
257,late,spät,null,adjective,A1,4,Es ist schon sehr spät für mich.
258,to surf (internet),surfen,null,verb,A1,4,Ich surfe oft im Internet.
259,tablet,das Tablet,neuter,noun,A1,4,Ich habe ein neues Tablet zum Lesen.
260,daily routine,der Tagesablauf,masculine,noun,A1,4,Mein Tagesablauf ist immer gleich.
261,"forbidden, not allowed",verboten,null,adjective,A1,4,Parken ist hier streng verboten.
262,"laundry, washing",die Wäsche,feminine,noun,A1,4,Ich hänge die nasse Wäsche auf.
263,to wash,waschen,null,verb,A1,4,Ich wasche meine Hände oft.
264,WiFi connection,die WLAN-Verbindung,feminine,noun,A1,4,Die WLAN-Verbindung ist sehr langsam hier.
265,to want,wollen,null,verb,A1,4,Ich will ein Eis essen.
266,angry,wütend,null,adjective,A1,4,Warum bist du so wütend heute?
267,"content, satisfied",zufrieden,null,adjective,A1,4,Bist du mit der Arbeit zufrieden?
268,to close,zumachen,null,verb,A1,4,Machst du bitte das Fenster zu?
269,to turn (direction),abbiegen,null,verb,A1,5,Ich biege an der nächsten Ampel links ab.
270,bank,die Bank,feminine,noun,A1,5,Ich gehe heute zur Bank.
271,bed,das Bett,neuter,noun,A1,5,Ich gehe jetzt ins Bett.
272,library,die Bibliothek,feminine,noun,A1,5,Ich lerne am liebsten in der Bibliothek.
273,to need,brauchen,null,verb,A1,5,Ich brauche deine Hilfe jetzt.
274,café,das Café,neuter,noun,A1,5,Wir gehen ins Café.
275,because (coord. conjunction),denn,null,conjunction,A1,5,"Ich bleibe zu Hause, denn ich bin müde."
276,"you (accusative, informal)",dich,null,adverb,A1,5,Ich sehe dich im Park.
277,there,dort,null,adverb,A1,5,Das Auto steht dort.
278,corner,die Ecke,feminine,noun,A1,5,Das Buch liegt in der Ecke.
279,along,entlang,null,preposition,A1,5,Gehen Sie diese Straße entlang.
280,it,es,null,pronoun,A1,5,Es ist kalt heute.
281,window,das Fenster,neuter,noun,A1,5,Das Fenster ist offen.
282,to find,finden,null,verb,A1,5,Ich finde den Schlüssel.
283,for,für,null,preposition,A1,5,Dieses Geschenk ist für dich.
284,"opposite, across from",gegenüber,null,preposition,A1,5,Die Post ist gegenüber dem Park.
285,straight ahead,geradeaus,null,adverb,A1,5,Gehen Sie geradeaus bis zur Post.
286,"gift, present",das Geschenk,neuter,noun,A1,5,Ich habe ein Geschenk für dich.
287,here,hier,null,adverb,A1,5,Komm bitte hierher.
288,him (accusative),ihn,null,adverb,A1,5,Ich sehe ihn jeden Tag.
289,"nearby, in the vicinity",in der Nähe,null,phrase,A1,5,Der Park ist in der Nähe.
290,hospital,das Krankenhaus,neuter,noun,A1,5,Er arbeitet im Krankenhaus.
291,to lie (position),liegen,null,verb,A1,5,Das Buch liegt auf dem Tisch.
292,left,links,null,adverb,A1,5,Gehen Sie hier links.
293,me (accusative),mich,null,adverb,A1,5,Er sieht mich oft in der Stadt.
294,not far,nicht weit,null,phrase,A1,5,Das Kino ist nicht weit von hier.
295,park,der Park,masculine,noun,A1,5,Ich gehe gern in den Park.
296,"square, plaza",der Platz,masculine,noun,A1,5,Wir treffen uns am Platz.
297,post office,die Post,feminine,noun,A1,5,Ich gehe jetzt zur Post.
298,city hall,das Rathaus,neuter,noun,A1,5,Das Rathaus ist im Zentrum der Stadt.
299,right,rechts,null,adverb,A1,5,Nach der Ampel müssen Sie rechts in die Hauptstraße fahren.
300,she,sie,null,pronoun,A1,5,Sie ist meine neue Kollegin.
301,city map,der Stadtplan,masculine,noun,A1,5,Haben Sie einen Stadtplan für Berlin?
302,street,die Straße,feminine,noun,A1,5,Das Auto fährt auf der Straße.
303,chair,der Stuhl,masculine,noun,A1,5,Nimm bitte auf diesem Stuhl Platz.
304,to search,suchen,null,verb,A1,5,Ich suche meinen Schlüssel.
305,supermarket,der Supermarkt,masculine,noun,A1,5,Ich gehe zum Supermarkt einkaufen.
306,table,der Tisch,masculine,noun,A1,5,Der Tisch ist wirklich groß.
307,door,die Tür,feminine,noun,A1,5,Mach bitte die Tür zu.
308,to know (fact),wissen,null,verb,A1,5,Ich weiß die Antwort nicht.
309,where (location),wo,null,adverb,A1,5,Wo ist die nächste Bushaltestelle hier bitte schön?
310,eye,das Auge,neuter,noun,A1,6,Das Baby hat große Augen.
311,better,besser,null,adjective,A1,6,Mir geht es heute besser.
312,blue,blau,null,adjective,A1,6,Der Himmel ist heute blau.
313,brown,braun,null,adjective,A1,6,Ihre Augen sind sehr braun.
314,doctor (informal title),der Doktor,masculine,noun,A1,6,Ich gehe zum Doktor.
315,"a/an (dative, masc./neut.)",einem,null,adverb,A1,6,Ich helfe einem Mann.
316,having a cold,erkältet,null,adjective,A1,6,Meine Kollegin ist heute erkältet.
317,the first (ordinal),erste,null,phrase,A1,6,Heute ist der erste Mai.
318,yellow,gelb,null,adjective,A1,6,Die Sonne ist heute sehr gelb.
319,yesterday,gestern,null,adverb,A1,6,Ich war gestern im Kino.
320,grey,grau,null,adjective,A1,6,Der Himmel ist heute grau.
321,green,grün,null,adjective,A1,6,Der Apfel ist grün.
322,hand,die Hand,feminine,noun,A1,6,Sie hält ihre Hand in den warmen Regen.
323,cough,der Husten,masculine,noun,A1,6,Ich habe starken Husten.
324,"no (dative, masc./neut.)",keinem,null,adverb,A1,6,Ich helfe keinem Freund.
325,head,der Kopf,masculine,noun,A1,6,Mein Kopf tut weh.
326,headache,Kopfschmerzen (Pl.),null,noun,A1,6,Ich habe starke Kopfschmerzen heute.
327,last week,letzte Woche,null,phrase,A1,6,Letzte Woche war ich krank.
328,last month,letzten Monat,null,phrase,A1,6,Letzten Monat war es sehr kalt.
329,purple / lilac,lila,null,adjective,A1,6,Ihre neue Bluse ist lila.
330,"my (dative, masc./neut.)",meinem,null,adverb,A1,6,Ich helfe meinem kleinen Bruder sehr gerne.
331,orange,orange,null,adjective,A1,6,Der Ball ist orange.
332,doctor's office / practice,die Praxis,feminine,noun,A1,6,Die Praxis öffnet um neun Uhr.
333,red,rot,null,adjective,A1,6,Die Rose ist rot.
334,"rest, quiet",die Ruhe,feminine,noun,A1,6,Ich brauche etwas Ruhe.
335,"bad, terrible",schlimm,null,adjective,A1,6,Die Situation ist wirklich schlimm.
336,pain,Schmerzen (Pl.),null,noun,A1,6,Ich habe starke Schmerzen im Bein.
337,black,schwarz,null,adjective,A1,6,Ihr neues Fahrrad ist schwarz und modern.
338,bandage,der Verband,masculine,noun,A1,6,Er braucht einen neuen Verband.
339,"from, of (+ dative)",von + Dativ,null,preposition,A1,6,Das Auto ist von meinem Vater.
340,the day before yesterday,vorgestern,null,adverb,A1,6,Vorgestern war ein sehr regnerischer Tag mit viel Wind.
341,white,weiß,null,adjective,A1,6,Der Schnee ist im Winter sehr weiß.
342,tooth,der Zahn,masculine,noun,A1,6,Mein Zahn tut heute weh.
343,old town,die Altstadt,feminine,noun,A1,7,Wir wohnen in der Altstadt.
344,to the (lake/sea/river),an den,null,phrase,A1,7,Wir fahren an den See.
345,to the (mountain),auf den,null,phrase,A1,7,Ich steige auf den Berg.
